Bedeutung,Infinitiv,ich,du,er/sie/es,wir,ihr,sie/Sie,Lektion
Fregar,SPÜLEN,spüle,spülst,spült,spülen,spült,spülen,2
Tenir lloc,STATTFINDEN,finde statt,findest statt,findet statt,finden statt,findet statt,finden statt,4
Estar de peu,STEHEN,stehe,stehst,steht,stehen,steht,stehen,6
Endivinar,STIMMEN,stimme,stimmst,stimmt,stimmen,stimmt,stimmen,2
Estudiar,STUDIEREN,studiere,studierst,studiert,studieren,studiert,studieren,1
Molestar,STÖREN,störe,störst,stört,stören,stört,stören,4
Buscar,SUCHEN,suche,suchst,sucht,suchen,sucht,suchen,5
Ballar,TANZEN,tanze,tanzt,tanzt,tanzen,tanzt,tanzen,4
Trobar-se,TREFFEN,treffe,triffst,trifft,treffen,trefft,treffen,4
Beure,TRINKEN,trinke,trinkst,trinkt,trinken,trinkt,trinken,3
Fer,TUN,tue,tust,tut,tun,tut,tun,2
Mudar-se,UMZIEHEN,ziehe um,ziehst um,zieht um,ziehen um,zieht um,ziehen um,5
Prohibir,VERBIETEN,verbiete,verbietest,vierbetet,verbieten,verbietet,verbieten,5
Cobrar (sou),VERDIENEN,verdiene,verdienst,verdient,verdienen,verdient,verdienen,5
Oblidar,VERGESSEN,vergesse,vergisst,vergisst,vergessen,vergesst,vergessen,4
Comparar,VERGLEICHEN,vergleiche,vergleichst,vergleicht,vergleichen,vergleicht,vergleichen,4
Entendre,VERSTEHEN,verstehe,verstehst,versteht,verstehen,versteht,verstehen,6
Preparar-se,VORBEREITEN,bereite vor,bereitest vor,bereitet vor,bereiten vor,bereitet vor,bereiten vor,4
intend,VORHABEN,habe vor,hast vor,hat vor,haben vor,habt vor,haben vor,4
Esperar,WARTEN,warte,wartest,wartet,warten,wartet,warten,1
Rentar,WASCHEN,wasche,wäschst,wäscht,waschen,wascht,waschen,2
Canviar,WECHSELN,wechsele,wechselst,wechselt,wechseln,wechselt,wechseln,2
Fer mal,WEHTUN,tue weh,tust weh,tut weh,tun weh,tut weh,tun weh,6
Arribar a ser,WERDEN,werde,wirst,wird,werden,werdet,werden,1
Saber,WISSEN,weiß,weißt,weiß,wissen,wisst,wissen,3
Viure,WOHNEN,wohne,wohnst,wohnt,wohnen,wohnt,wohnen,1
Voler,WOLLEN,will,willst,will,wollen,wollt,wollen,3
Dibuixar,ZEICHNEN,zeichne,zeichnest,zeichnet,zeichnen,zeichnet,zeichnen,4
Escoltar,ZUHÖREN,höre zu,hörst zu,hört zu,hören zu,hört zu,hören zu,4
Practicar,ÜBEN,übe,übst,übt,üben,übt,üben,3
